"","dataSet","observation"
"1","left",-9.76910675954
"2","left",-9.76314456909
"3","left",-9.74712344973
"4","left",-9.76658919053
"5","left",-9.76282604658
"6","left",-9.76669444471
"7","left",-9.76127425507
"8","left",-9.75559716874
"9","left",-9.76902955883
"10","left",-9.76964125177
"11","left",-9.76551652089
"12","left",-9.76574560563
"13","left",-9.72665416687
"14","left",-9.75298121952
"15","left",-9.71784513042
"16","left",-9.72458174876
"17","left",-9.75948040742
"18","left",-9.75588770602
"19","left",-9.74947741577
"20","left",-9.75873575989
"21","left",-9.75284811576
"22","left",-9.75582780991
"23","left",-9.73324195009
"24","left",-9.75205952841
"25","left",-9.76863134184
"26","left",-9.75769294681
"27","left",-9.76059000094
"28","left",-9.41826266841
"29","left",-9.63809176247
"30","left",-9.7619425597
"31","left",-9.67544186604
"32","left",-9.76440173875
"33","left",-9.76541967176
"34","left",-9.75363231072
"35","left",-9.71302321703
"36","left",-9.73189858904
"37","left",-9.75456046684
"38","left",-9.66926275989
"39","left",-9.51091323216
"40","left",-9.74351234715
"41","left",-9.46247705142
"42","left",-9.65273487967
"43","left",-9.76894205156
"44","left",-9.52798806193
"45","left",-9.5398360913
"46","left",-9.71939040437
"47","left",-9.53231870037
"48","left",-9.26159978698
"49","left",-9.38656807073
"50","left",-9.41621700801
"51","left",-9.19332990745
"52","left",-8.89948949224
"53","left",-9.72697636881
"54","left",-8.66890411111
"55","left",-9.23118202072
"56","left",-9.08541585679
"57","left",-8.98258254373
"58","left",-9.16009314236
"59","left",-9.00558045801
"60","left",-9.52435715814
"61","left",-8.45649279162
"62","left",-9.15075509524
"63","left",-8.64817538971
"64","left",-8.46325146148
"65","left",-9.26420177901
"66","left",-9.03833995407
"67","left",-8.30155522739
"68","left",-9.41424479396
"69","left",-8.49466409813
"70","left",-9.22620898128
"71","left",-8.14062982394
"72","left",-8.46796179461
"73","left",-9.20998042393
"74","left",-9.3453664512
"75","left",-9.16059947276
"76","left",-9.34651701349
"77","left",-8.68645855766
"78","left",-8.53828511639
"79","left",-9.24893558512
"80","left",-8.5188931388
"81","left",-8.66401302944
"82","left",-9.28822847546
"83","left",-9.32714083266
"84","left",-9.31004299682
"85","left",-8.68650302321
"86","left",-7.89646900285
"87","left",-7.69275885146
"88","left",-8.29966632737
"89","left",-8.43785750036
"90","left",-8.78629686972
"91","left",-8.09833139236
"92","left",-8.36124013848
"93","left",-8.11879769854
"94","left",-8.83753293267
"95","left",-8.76167699562
"96","left",-8.41795796795
"97","left",-9.17868175647
"98","left",-8.86146827887
"99","left",-8.19138730758
"100","left",-7.84714436395
"101","left",-8.27851025777
"102","left",-7.81749969656
"103","left",-8.41733242223
"104","left",-8.52661467375
"105","left",-8.19352179634
"106","left",-8.28472683754
"107","left",-7.7613425596
"108","left",-7.67853136083
"109","left",-7.68960046282
"110","left",-7.84040597133
"111","left",-8.23322642717
"112","left",-8.58036456666
"113","left",-7.83640775825
"114","left",-8.51949620001
"115","left",-7.50006359908
"116","left",-7.13690395028
"117","left",-7.7140926885
"118","left",-8.08391429453
"119","left",-7.65982073916
"120","left",-7.9149718914
"121","left",-7.99617702761
"122","left",-7.27964096362
"123","left",-9.30832391978
"124","left",-7.90508915138
"125","left",-7.85229266007
"126","left",-8.73601105505
"127","left",-7.95129667939
"128","left",-7.75684558711
"129","left",-7.65128925214
"130","left",-7.37857202176
"131","left",-8.55409390785
"132","left",-7.97351907964
"133","left",-8.30901379957
"134","left",-8.08175146647
"135","left",-7.58097819346
"136","left",-7.65589872198
"137","left",-8.01598581626
"138","left",-7.33905179792
"139","left",-8.82199923401
"140","left",-7.53662981048
"141","left",-7.36294561922
"142","left",-8.110400273
"143","left",-7.21449377579
"144","left",-7.72235547806
"145","left",-7.87962481445
"146","left",-7.25219423082
"147","left",-7.91508956743
"148","left",-7.42932325058
"149","left",-7.41721930308
"150","left",-7.22533851418
"151","left",-6.98084758811
"152","left",-6.78577466347
"153","left",-7.32794298874
"154","left",-7.49991593271
"155","left",-7.46179356428
"156","left",-7.72288151824
"157","left",-7.26493304476
"158","left",-7.63224416111
"159","left",-7.15816493401
"160","left",-7.41040188596
"161","left",-7.31551301698
"162","left",-7.39381129072
"163","left",-7.50765247768
"164","left",-7.17214757869
"165","left",-7.71390971332
"166","left",-7.32038877282
"167","left",-6.46886713136
"168","left",-7.29211605443
"169","left",-7.35521473307
"170","left",-7.08881028199
"171","left",-8.38586881172
"172","left",-7.2879870516
"173","left",-7.11058928338
"174","left",-8.27385392133
"175","left",-6.53682938558
"176","left",-7.18465857967
"177","left",-6.56861506899
"178","left",-6.73004277776
"179","left",-6.67758054311
"180","left",-7.11931809566
"181","left",-7.14385488424
"182","left",-7.77135444419
"183","left",-7.30526543976
"184","left",-6.77529909809
"185","left",-6.89047326868
"186","left",-7.30284317384
"187","left",-6.85638833463
"188","left",-7.78017538254
"189","left",-7.25337754966
"190","left",-7.31530050715
"191","left",-8.28350817059
"192","left",-6.85037553324
"193","left",-7.72657074433
"194","left",-7.15271332968
"195","left",-8.05176590189
"196","left",-7.02251546219
"197","left",-7.20385932475
"198","left",-5.97364025916
"199","left",-6.53435834123
"200","left",-7.12408222811
"201","left",-6.89753034942
"202","left",-7.1609550081
"203","left",-6.56632449487
"204","left",-6.77107315927
"205","left",-6.63161161646
"206","left",-6.88594004609
"207","left",-6.7721194293
"208","left",-6.72467880473
"209","left",-7.04586341756
"210","left",-6.91203431454
"211","left",-6.70435548505
"212","left",-7.33535968238
"213","left",-6.63991226925
"214","left",-7.16031617099
"215","left",-6.15917080219
"216","left",-7.33353141985
"217","left",-6.78710248894
"218","left",-7.47009089792
"219","left",-7.53935172554
"220","left",-7.40184735079
"221","left",-6.58272809458
"222","left",-5.97749009301
"223","left",-6.82251062968
"224","left",-6.24160676996
"225","left",-6.78936831619
"226","left",-7.24385678474
"227","left",-6.42825043343
"228","left",-6.33363654029
"229","left",-7.10423597239
"230","left",-6.34936381031
"231","left",-7.3694057959
"232","left",-6.56953242534
"233","left",-6.74024016016
"234","left",-6.35908619102
"235","left",-6.67687799726
"236","left",-5.99797338931
"237","left",-6.70898054259
"238","left",-6.68070521236
"239","left",-5.8883089628
"240","left",-6.14968872874
"241","left",-6.49398755427
"242","left",-6.38618448983
"243","left",-6.41702105838
"244","left",-6.9489227693
"245","left",-6.71933054773
"246","left",-6.74688421682
"247","left",-7.01089602699
"248","left",-6.47047589218
"249","left",-6.80326391826
"250","left",-6.68997626312
"251","left",-6.25123384139
"252","left",-5.61130913809
"253","left",-5.76174825317
"254","left",-6.93542244301
"255","left",-5.87005426556
"256","left",-6.34861400389
"257","left",-6.51124829223
"258","left",-6.72845221281
"259","left",-6.11348809266
"260","left",-6.5148215263
"261","left",-6.23383691595
"262","left",-6.21990113379
"263","left",-7.14549593763
"264","left",-6.05003169992
"265","left",-6.28917693811
"266","left",-6.3851763747
"267","left",-7.28254219252
"268","left",-6.73043302591
"269","left",-5.71864061495
"270","left",-6.16451104384
"271","left",-5.79342628609
"272","left",-6.07610921492
"273","left",-6.09134946663
"274","left",-5.56766746193
"275","left",-6.7519238008
"276","left",-6.48540294435
"277","left",-6.27438004851
"278","left",-6.5255002687
"279","left",-5.67141710288
"280","left",-7.27013459446
"281","left",-7.20639411741
"282","left",-5.9585328292
"283","left",-6.91526837935
"284","left",-6.97061640995
"285","left",-7.35633927966
"286","left",-6.29771862836
"287","left",-6.86520338244
"288","left",-6.64793000544
"289","left",-5.90863635311
"290","left",-5.52071623278
"291","left",-7.00908233884
"292","left",-6.04677428325
"293","left",-5.89115563232
"294","left",-5.93621875733
"295","left",-7.02572395994
"296","left",-6.47946695681
"297","left",-6.65743084363
"298","left",-6.34569388559
"299","left",-5.59746773336
"300","left",-6.61768659164
"301","left",-6.25396223477
"302","left",-6.51221504143
"303","left",-5.60284088263
"304","left",-6.20211089875
"305","left",-5.46679833506
"306","left",-6.48706528388
"307","left",-6.5682917625
"308","left",-5.69671147501
"309","left",-5.0680020538
"310","left",-5.58119540691
"311","left",-6.00680306074
"312","left",-5.94168752471
"313","left",-5.74934905181
"314","left",-5.82208737445
"315","left",-5.99760338384
"316","left",-5.92057945657
"317","left",-6.64697608477
"318","left",-6.07452578378
"319","left",-6.06126049863
"320","left",-5.62277818682
"321","left",-5.70748528455
"322","left",-5.79757825937
"323","left",-6.62786621761
"324","left",-5.44263487948
"325","left",-5.89610036912
"326","left",-6.35936118643
"327","left",-6.2680590954
"328","left",-5.8822319657
"329","left",-5.99578535098
"330","left",-5.87706396345
"331","left",-6.08785098894
"332","left",-6.01240858833
"333","left",-6.26487548606
"334","left",-5.46034933377
"335","left",-5.81492215144
"336","left",-5.85277154897
"337","left",-6.59168623234
"338","left",-6.12330574536
"339","left",-5.57721402914
"340","left",-5.8512445459
"341","left",-5.3782402768
"342","left",-6.586023792
"343","left",-6.43021210549
"344","left",-5.8973546894
"345","left",-5.64452264907
"346","left",-6.49786048066
"347","left",-5.32803088246
"348","left",-6.47632355465
"349","left",-5.94714671051
"350","left",-5.24604044402
"351","left",-5.37993865994
"352","left",-6.0460123682
"353","left",-5.60534279075
"354","left",-6.23300169482
"355","left",-5.84447309128
"356","left",-5.32631342548
"357","left",-5.50157262444
"358","left",-4.85707491894
"359","left",-6.49170721983
"360","left",-5.35643114511
"361","left",-6.282627917
"362","left",-5.98403614479
"363","left",-4.96378569834
"364","left",-5.11165747982
"365","left",-5.10107498985
"366","left",-5.92814678062
"367","left",-5.18244867249
"368","left",-5.95939103761
"369","left",-6.38303055611
"370","left",-5.52748684587
"371","left",-5.71966230072
"372","left",-6.2741633414
"373","left",-5.92371771327
"374","left",-5.81835818476
"375","left",-5.6659630066
"376","left",-6.27054877504
"377","left",-5.6517913476
"378","left",-6.01271409931
"379","left",-5.40981562333
"380","left",-5.65849880985
"381","left",-5.74620160307
"382","left",-5.97545559004
"383","left",-5.45143257525
"384","left",-5.69007992364
"385","left",-5.18066521373
"386","left",-5.45458023546
"387","left",-5.14831036162
"388","left",-4.80492417427
"389","left",-5.56770143397
"390","left",-6.48025950548
"391","left",-5.02400280691
"392","left",-4.99509266277
"393","left",-5.39614163961
"394","left",-5.28742353148
"395","left",-6.0646267111
"396","left",-5.35340119225
"397","left",-5.0132311488
"398","left",-5.08861711958
"399","left",-5.6940987172
"400","left",-5.28791079341
"401","left",-5.86877091705
"402","left",-5.53969436735
"403","left",-5.37059154478
"404","left",-5.41459569526
"405","left",-4.58261508316
"406","left",-5.41944125588
"407","left",-4.69097660373
"408","left",-5.27917960269
"409","left",-4.58423145526
"410","left",-5.61975530695
"411","left",-5.25444728203
"412","left",-5.12413766394
"413","left",-5.90079008016
"414","left",-5.69007584614
"415","left",-4.6616131175
"416","left",-4.74278922667
"417","left",-5.02459458808
"418","left",-5.82307349442
"419","left",-5.18115358271
"420","left",-5.01025258291
"421","left",-5.25159468898
"422","left",-5.33203865407
"423","left",-5.72843628685
"424","left",-5.93959117284
"425","left",-4.8687839606
"426","left",-5.14564675511
"427","left",-4.87079357929
"428","left",-5.83017992002
"429","left",-5.74824890284
"430","left",-5.73004647603
"431","left",-5.82109237407
"432","left",-4.70084281399
"433","left",-5.52785345096
"434","left",-5.41869731223
"435","left",-4.72055565511
"436","left",-4.9688096316
"437","left",-5.32861131314
"438","left",-4.61846188242
"439","left",-4.44651652967
"440","left",-4.91192936555
"441","left",-5.41234234724
"442","left",-4.90838663732
"443","left",-5.34990020298
"444","left",-5.97629986304
"445","left",-5.43151466697
"446","left",-5.14426150863
"447","left",-4.95622910839
"448","left",-5.86885030831
"449","left",-4.97762683522
"450","left",-5.01947617013
"451","left",-4.40248447554
"452","left",-4.96384986231
"453","left",-5.35603610743
"454","left",-4.70469239495
"455","left",-4.84689425817
"456","left",-5.30786727521
"457","left",-4.35677894689
"458","left",-5.45001295713
"459","left",-4.764247552
"460","left",-4.81768134263
"461","left",-4.2594564994
"462","left",-4.69671414178
"463","left",-5.75067525892
"464","left",-4.21597584608
"465","left",-5.13393504773
"466","left",-4.53162630286
"467","left",-5.51756816008
"468","left",-4.44197852016
"469","left",-4.46071215969
"470","left",-4.71699193984
"471","left",-5.84473070944
"472","left",-4.9201250687
"473","left",-5.91123219888
"474","left",-4.99424498106
"475","left",-5.51111132363
"476","left",-5.03092886293
"477","left",-5.49380060145
"478","left",-5.02414369195
"479","left",-5.15949348906
"480","left",-4.99231144698
"481","left",-4.54654771751
"482","left",-5.05506167882
"483","left",-4.6816031765
"484","left",-5.54716643757
"485","left",-4.96738841775
"486","left",-5.27017470936
