COUNTY,AREA,NAME,PITGAMES,SLOTS,KENO,BINGO,SPORTS,POKER,TOTAL
14,0,ALAMO CASINO - MILL CITY                ,0,3500,0,0,0,0,3500
4,0,ALAMO CASINO AT WELLS PETRO             ,0,2250,0,,0,0,
16,2,ALAMO TRAVEL CENTER                     ,900,6100,0,0,0,150,7150
2,0,ALBERTSON'S #6046                       ,0,400,0,0,0,0,400
2,3,ALIANTE CASINO + HOTEL                  ,5060,98007,0,5624,14200,2109,125000
2,4,AQUARIUS CASINO RESORT                  ,8215,42075,1680,0,5100,0,57070
2,2,ARIA RESORT & CASINO                    ,48147,86028,0,0,10156,5669,150000
2,5,ARIZONA CHARLIE'S BOULDER               ,2125,35950,0,7546,1920,0,47541
2,0,ARIZONA CHARLIE'S DECATUR               ,1903,39092,560,9196,4096,380,55227
16,1,ATLANTIS CASINO RESORT                  ,12500,45775,1000,0,3648,1891,64814
16,2,BALDINI'S SPORTS CASINO                 ,0,41450,300,0,150,0,41900
2,2,BALLY'S LAS VEGAS                       ,10634,44829,1360,0,7932,1432,66187
2,5,BARLEY'S CASINO & BREWING COMPANY       ,0,4440,0,0,750,0,5190
4,0,BARTON'S CLUB 93                        ,2500,10050,0,0,0,0,12550
2,0,BEANO'S CASINO                          ,0,866,0,0,0,0,866
2,2,BELLAGIO                                ,38332,103698,0,0,6320,7650,156000
2,0,BIG DOG'S CAFE & CASINO                 ,0,1500,0,0,0,0,1500
2,3,BIGHORN CASINO                          ,240,3500,0,0,0,0,3740
2,2,BILL'S GAMBLIN' HALL & SALOON           ,0,800,,0,,0,
2,1,BINION'S GAMBLING HALL & HOTEL          ,14400,59600,0,0,0,3800,77800
13,0,BODINE'S                                ,0,11070,0,0,504,0,11574
16,1,BONANZA CASINO                          ,350,12134,0,0,0,0,12484
1,0,BONANZA INN AND CASINO                  ,0,5430,400,0,0,0,5830
2,0,BONANZA LOUNGE                          ,0,1560,0,0,0,0,1560
16,0,BOOMTOWN RENO                           ,1400,36150,500,0,0,500,38550
16,0,BORDERTOWN                              ,0,4600,0,,0,0,
