"QQQ.Open"	"QQQ.High"	"QQQ.Low"	"QQQ.Close"	"QQQ.Volume"	"QQQ.Adjusted"
"1"	43.459999	44.060001	42.52	43.240002	167689500	38.79258
"2"	43.299999	44.209999	43.150002	44.060001	136853500	39.528244
"3"	43.950001	43.950001	43.48	43.849998	138958800	39.339836
"4"	43.889999	44.119999	43.639999	43.880001	106401600	39.36676
"5"	44.009998	44.290001	43.630001	44.099998	121577500	39.564117
"6"	43.959999	44.66	43.82	44.619999	121070100	40.030624
"7"	44.709999	45.240002	44.650002	45.080002	174029800	40.443321
"8"	45.02	45.349998	44.970001	45.310001	104217300	40.649677
"9"	45.349998	45.400002	45.130001	45.279999	95690500	40.622749
"10"	45.09	45.290001	44.830002	44.91	127142600	40.290798
"11"	44.790001	44.84	43.950001	44.080002	189029800	39.546185
"12"	43.970001	44.279999	43.91	44.169998	127544300	39.626915
"13"	44.209999	44.23	43.509998	43.689999	123441700	39.19627
"14"	43.66	43.98	43.5	43.580002	133103600	39.097607
"15"	43.860001	44.32	43.77	44.299999	117615300	39.74353
"16"	44.360001	44.470001	43.580002	43.73	158337600	39.232174
"17"	43.810001	43.830002	43.290001	43.57	146284300	39.088627
"18"	43.459999	43.91	43.400002	43.610001	104191500	39.124512
"19"	43.68	43.790001	43.52	43.630001	69605900	39.142471
"20"	43.580002	44.189999	43.330002	44.07	157772500	39.537197
"21"	44.27	44.400002	43.849998	44	147365600	39.474407
"22"	44.119999	44.25	43.939999	44.16	98189200	39.617958
"23"	44.139999	44.360001	43.959999	44.119999	96347800	39.582073
"24"	44.200001	44.23	43.639999	44.060001	121110200	39.528244
"25"	44.279999	44.650002	44.119999	44.459999	117823800	39.887104
"26"	44.400002	44.599998	44.23	44.450001	89521900	39.878117
"27"	44.57	44.720001	43.73	43.880001	133472000	39.36676
"28"	43.869999	43.889999	43.59	43.709999	126940000	39.214233
"29"	43.779999	44	43.700001	43.860001	93648000	39.348808
"30"	44.040001	44.709999	44.040001	44.599998	133370000	40.012691
"31"	44.630001	44.860001	44.549999	44.860001	110452500	40.24596
"32"	44.66	44.830002	44.57	44.709999	72342200	40.111378
"33"	44.639999	45.119999	44.43	45.049999	93629000	40.416397
"34"	44.919998	45.209999	44.830002	45.189999	95864000	40.541996
"35"	45.360001	45.549999	45.07	45.419998	116344400	40.748348
"36"	45.419998	45.459999	45.060001	45.259998	113467100	40.604813
"37"	45.48	45.5	44.759998	45.040001	101623700	40.407433
"38"	44.369999	44.48	43.060001	43.189999	317813200	38.747715
"39"	43.150002	43.759998	42.93	43.330002	214978700	38.873325
"40"	42.549999	43.540001	42.240002	43.130001	231806500	38.69389
"41"	42.779999	43.139999	42.470001	42.48	183359400	38.110737
