City,Population2010,Rank
"New York city, New York",8175133,1
"Los Angeles city, California",3792621,2
"Chicago city, Illinois",2695598,3
"Houston city, Texas",2099451,4
"Philadelphia city, Pennsylvania",1526006,5
"Phoenix city, Arizona",1445632,6
"San Antonio city, Texas",1327407,7
"San Diego city, California",1307402,8
"Dallas city, Texas",1197816,9
"San Jose city, California",945942,10
"Jacksonville city, Florida",821784,11
"Indianapolis city (balance), Indiana",820445,12
"San Francisco city, California",805235,13
"Austin city, Texas",790390,14
"Columbus city, Ohio",787033,15
"Fort Worth city, Texas",741206,16
"Charlotte city, North Carolina",731424,17
"Detroit city, Michigan",713777,18
"El Paso city, Texas",649121,19
"Memphis city, Tennessee",646889,20
"Baltimore city, Maryland",620961,21
"Boston city, Massachusetts",617594,22
"Seattle city, Washington",608660,23
"Washington city, District of Columbia",601723,24
"Nashville-Davidson metropolitan government (balance), Tennessee",601222,25
"Denver city, Colorado",600158,26
"Louisville/Jefferson County metro government (balance), Kentucky",597337,27
"Milwaukee city, Wisconsin",594833,28
"Portland city, Oregon",583776,29
"Las Vegas city, Nevada",583756,30
"Oklahoma City city, Oklahoma",579999,31
"Albuquerque city, New Mexico",545852,32
"Tucson city, Arizona",520116,33
"Fresno city, California",494665,34
"Sacramento city, California",466488,35
"Long Beach city, California",462257,36
"Kansas City city, Missouri",459787,37
"Mesa city, Arizona",439041,38
"Virginia Beach city, Virginia",437994,39
"Atlanta city, Georgia",420003,40
"Colorado Springs city, Colorado",416427,41
"Omaha city, Nebraska",408958,42
"Raleigh city, North Carolina",403892,43
"Miami city, Florida",399457,44
"Cleveland city, Ohio",396815,45
"Tulsa city, Oklahoma",391906,46
"Oakland city, California",390724,47
"Minneapolis city, Minnesota",382578,48
"Wichita city, Kansas",382368,49
"Arlington city, Texas",365438,50
"Bakersfield city, California",347483,51
"New Orleans city, Louisiana",343829,52
"Urban Honolulu CDP, Hawaii",337256,53
"Anaheim city, California",336265,54
"Tampa city, Florida",335709,55
"Aurora city, Colorado",325078,56
"Santa Ana city, California",324528,57
"St. Louis city, Missouri",319294,58
"Pittsburgh city, Pennsylvania",305704,59
"Corpus Christi city, Texas",305215,60
"Riverside city, California",303871,61
"Cincinnati city, Ohio",296943,62
"Lexington-Fayette urban county, Kentucky",295803,63
"Anchorage municipality, Alaska",291826,64
"Stockton city, California",291707,65
"Toledo city, Ohio",287208,66
"St. Paul city, Minnesota",285068,67
"Newark city, New Jersey",277140,68
"Greensboro city, North Carolina",269666,69
"Buffalo city, New York",261310,70
"Plano city, Texas",259841,71
"Lincoln city, Nebraska",258379,72
"Henderson city, Nevada",257729,73
"Fort Wayne city, Indiana",253691,74
"Jersey City city, New Jersey",247597,75
"St. Petersburg city, Florida",244769,76
"Chula Vista city, California",243916,77
"Norfolk city, Virginia",242803,78
"Orlando city, Florida",238300,79
"Chandler city, Arizona",236123,80
"Laredo city, Texas",236091,81
"Madison city, Wisconsin",233209,82
"Winston-Salem city, North Carolina",229617,83
"Lubbock city, Texas",229573,84
"Baton Rouge city, Louisiana",229493,85
"Durham city, North Carolina",228330,86
"Garland city, Texas",226876,87
"Glendale city, Arizona",226721,88
"Reno city, Nevada",225221,89
"Hialeah city, Florida",224669,90
"Chesapeake city, Virginia",222209,91
"Scottsdale city, Arizona",217385,92
"North Las Vegas city, Nevada",216961,93
"Irving city, Texas",216290,94
"Fremont city, California",214089,95
"Irvine city, California",212375,96
"Birmingham city, Alabama",212237,97
"Rochester city, New York",210565,98
"San Bernardino city, California",209924,99
"Spokane city, Washington",208916,100
"Gilbert town, Arizona",208453,101
"Montgomery city, Alabama",205764,102
"Boise City city, Idaho",205671,103
"Richmond city, Virginia",204214,104
"Des Moines city, Iowa",203433,105
"Modesto city, California",201165,106
"Fayetteville city, North Carolina",200564,107
"Shreveport city, Louisiana",199311,108
"Akron city, Ohio",199110,109
"Tacoma city, Washington",198397,110
"Oxnard city, California",197899,111
"Aurora city, Illinois",197899,112
"Fontana city, California",196069,113
"Yonkers city, New York",195976,114
"Augusta-Richmond County consolidated government (balance), Georgia",195844,115
"Mobile city, Alabama",195111,116
"Little Rock city, Arkansas",193524,117
"Moreno Valley city, California",193365,118
"Glendale city, California",191719,119
"Amarillo city, Texas",190695,120
"Huntington Beach city, California",189992,121
"Columbus city, Georgia",189885,122
"Grand Rapids city, Michigan",188040,123
"Salt Lake City city, Utah",186440,124
"Tallahassee city, Florida",181376,125
"Worcester city, Massachusetts",181045,126
"Newport News city, Virginia",180719,127
"Huntsville city, Alabama",180105,128
"Knoxville city, Tennessee",178874,129
"Providence city, Rhode Island",178042,130
"Santa Clarita city, California",176320,131
"Grand Prairie city, Texas",175396,132
"Brownsville city, Texas",175023,133
"Jackson city, Mississippi",173514,134
"Overland Park city, Kansas",173372,135
"Garden Grove city, California",170883,136
"Santa Rosa city, California",167815,137
"Chattanooga city, Tennessee",167674,138
"Oceanside city, California",167086,139
"Fort Lauderdale city, Florida",165521,140
"Rancho Cucamonga city, California",165269,141
"Port St. Lucie city, Florida",164603,142
"Ontario city, California",163924,143
"Vancouver city, Washington",161791,144
"Tempe city, Arizona",161719,145
"Springfield city, Missouri",159498,146
"Lancaster city, California",156633,147
"Eugene city, Oregon",156185,148
"Pembroke Pines city, Florida",154750,149
"Salem city, Oregon",154637,150
"Cape Coral city, Florida",154305,151
"Peoria city, Arizona",154065,152
"Sioux Falls city, South Dakota",153888,153
"Springfield city, Massachusetts",153060,154
"Elk Grove city, California",153015,155
"Rockford city, Illinois",152871,156
"Palmdale city, California",152750,157
"Corona city, California",152374,158
"Salinas city, California",150441,159
"Pomona city, California",149058,160
"Pasadena city, Texas",149043,161
"Joliet city, Illinois",147433,162
"Paterson city, New Jersey",146199,163
"Kansas City city, Kansas",145786,164
"Torrance city, California",145438,165
"Syracuse city, New York",145170,166
"Bridgeport city, Connecticut",144229,167
"Hayward city, California",144186,168
"Fort Collins city, Colorado",143986,169
"Escondido city, California",143911,170
"Lakewood city, Colorado",142980,171
"Naperville city, Illinois",141853,172
"Dayton city, Ohio",141527,173
"Hollywood city, Florida",140768,174
"Sunnyvale city, California",140081,175
"Alexandria city, Virginia",139966,176
"Mesquite city, Texas",139824,177
"Hampton city, Virginia",137436,178
"Pasadena city, California",137122,179
"Orange city, California",136416,180
"Savannah city, Georgia",136286,181
"Cary town, North Carolina",135234,182
"Fullerton city, California",135161,183
"Warren city, Michigan",134056,184
"Clarksville city, Tennessee",132929,185
"McKinney city, Texas",131117,186
"McAllen city, Texas",129877,187
"New Haven city, Connecticut",129779,188
"Sterling Heights city, Michigan",129699,189
"West Valley City city, Utah",129480,190
"Columbia city, South Carolina",129272,191
"Killeen city, Texas",127921,192
"Topeka city, Kansas",127473,193
"Thousand Oaks city, California",126683,194
"Cedar Rapids city, Iowa",126326,195
"Olathe city, Kansas",125872,196
"Elizabeth city, New Jersey",124969,197
"Waco city, Texas",124805,198
"Hartford city, Connecticut",124775,199
"Visalia city, California",124442,200
"Gainesville city, Florida",124354,201
"Simi Valley city, California",124237,202
"Stamford city, Connecticut",122643,203
"Bellevue city, Washington",122363,204
"Concord city, California",122067,205
"Miramar city, Florida",122041,206
"Coral Springs city, Florida",121096,207
"Lafayette city, Louisiana",120623,208
"Charleston city, South Carolina",120083,209
"Carrollton city, Texas",119097,210
"Roseville city, California",118788,211
"Thornton city, Colorado",118772,212
"Beaumont city, Texas",118296,213
"Allentown city, Pennsylvania",118032,214
"Surprise city, Arizona",117517,215
"Evansville city, Indiana",117429,216
"Abilene city, Texas",117063,217
"Frisco city, Texas",116989,218
"Independence city, Missouri",116830,219
"Santa Clara city, California",116468,220
"Springfield city, Illinois",116250,221
"Vallejo city, California",115942,222
"Victorville city, California",115903,223
"Athens-Clarke County unified government (balance), Georgia",115452,224
"Peoria city, Illinois",115007,225
"Lansing city, Michigan",114297,226
"Ann Arbor city, Michigan",113934,227
"El Monte city, California",113475,228
"Denton city, Texas",113383,229
"Berkeley city, California",112580,230
"Provo city, Utah",112488,231
"Downey city, California",111772,232
"Midland city, Texas",111147,233
"Norman city, Oklahoma",110925,234
"Waterbury city, Connecticut",110366,235
"Costa Mesa city, California",109960,236
"Inglewood city, California",109673,237
"Manchester city, New Hampshire",109565,238
"Murfreesboro city, Tennessee",108755,239
"Columbia city, Missouri",108500,240
"Elgin city, Illinois",108188,241
"Clearwater city, Florida",107685,242
"Miami Gardens city, Florida",107167,243
"Rochester city, Minnesota",106769,244
"Pueblo city, Colorado",106595,245
"Lowell city, Massachusetts",106519,246
"Wilmington city, North Carolina",106476,247
"San Buenaventura (Ventura) city, California",106433,248
"Arvada city, Colorado",106433,249
"Westminster city, Colorado",106114,250
"West Covina city, California",106098,251
"Gresham city, Oregon",105594,252
"Norwalk city, California",105549,253
"Fargo city, North Dakota",105549,254
"Carlsbad city, California",105328,255
"Fairfield city, California",105321,256
"Cambridge city, Massachusetts",105162,257
"Wichita Falls city, Texas",104553,258
"High Point city, North Carolina",104371,259
"Billings city, Montana",104170,260
"Green Bay city, Wisconsin",104057,261
"West Jordan city, Utah",103712,262
"Richmond city, California",103701,263
"Murrieta city, California",103466,264
"Burbank city, California",103340,265
"Palm Bay city, Florida",103190,266
"Everett city, Washington",103019,267
"Flint city, Michigan",102434,268
"Antioch city, California",102372,269
"Erie city, Pennsylvania",101786,270
"South Bend city, Indiana",101168,271
"Daly City city, California",101123,272
"Centennial city, Colorado",100377,273
"Temecula city, California",100097,274
"Odessa city, Texas",99940,275
"West Palm Beach city, Florida",99919,276
"Round Rock city, Texas",99887,277
"Pompano Beach city, Florida",99845,278
"Davenport city, Iowa",99685,279
"Santa Maria city, California",99553,280
"El Cajon city, California",99478,281
"Richardson city, Texas",99223,282
"Kenosha city, Wisconsin",99218,283
"Rialto city, California",99171,284
"Broken Arrow city, Oklahoma",98850,285
"Dearborn city, Michigan",98153,286
"Albany city, New York",97856,287
"Las Cruces city, New Mexico",97618,288
"North Charleston city, South Carolina",97471,289
"Lakeland city, Florida",97422,290
"Boulder city, Colorado",97385,291
"San Mateo city, California",97207,292
"Roanoke city, Virginia",97032,293
"Livonia city, Michigan",96942,294
"Tyler city, Texas",96900,295
"Lawton city, Oklahoma",96867,296
"Compton city, California",96455,297
"Clovis city, California",95631,298
"Portsmouth city, Virginia",95535,299
"Lewisville city, Texas",95290,300
"New Bedford city, Massachusetts",95072,301
"South Gate city, California",94396,302
"College Station city, Texas",93857,303
"Sandy Springs city, Georgia",93853,304
"Vista city, California",93834,305
"Brockton city, Massachusetts",93810,306
"Mission Viejo city, California",93305,307
"San Angelo city, Texas",93200,308
"Yuma city, Arizona",93064,309
"Greeley city, Colorado",92889,310
"Vacaville city, California",92428,311
"Kent city, Washington",92411,312
"Quincy city, Massachusetts",92271,313
"Davie town, Florida",91992,314
"Carson city, California",91714,315
"Hillsboro city, Oregon",91611,316
"Lee's Summit city, Missouri",91364,317
"Pearland city, Texas",91252,318
"Yakima city, Washington",91067,319
"Renton city, Washington",90927,320
"Tuscaloosa city, Alabama",90468,321
"Lynn city, Massachusetts",90329,322
"Sparks city, Nevada",90264,323
"Hesperia city, California",90173,324
"Redding city, California",89861,325
"Beaverton city, Oregon",89803,326
"Spokane Valley city, Washington",89755,327
"Santa Monica city, California",89736,328
"Westminster city, California",89701,329
"Federal Way city, Washington",89306,330
"Waukegan city, Illinois",89078,331
"Fall River city, Massachusetts",88857,332
"Santa Barbara city, California",88410,333
"Roswell city, Georgia",88346,334
"Orem city, Utah",88328,335
"Reading city, Pennsylvania",88082,336
"Miami Beach city, Florida",87779,337
"Lawrence city, Kansas",87643,338
"Rio Rancho city, New Mexico",87521,339
"Sandy city, Utah",87461,340
"Nashua city, New Hampshire",86494,341
"Longmont city, Colorado",86270,342
"Duluth city, Minnesota",86265,343
"Fort Smith city, Arkansas",86209,344
"Chico city, California",86187,345
"Norwalk city, Connecticut",85603,346
"Whittier city, California",85331,347
"Newport Beach city, California",85186,348
"Deltona city, Florida",85182,349
"Newton city, Massachusetts",85146,350
"Plantation city, Florida",84955,351
"San Leandro city, California",84950,352
"Trenton city, New Jersey",84913,353
"Suffolk city, Virginia",84585,354
"Greenville city, North Carolina",84554,355
"Sunrise city, Florida",84439,356
"Boca Raton city, Florida",84392,357
"Hawthorne city, California",84293,358
"Allen city, Texas",84246,359
"Clifton city, New Jersey",84136,360
"Westland city, Michigan",84094,361
"Cicero town, Illinois",83891,362
"San Marcos city, California",83781,363
"League City city, Texas",83560,364
"Asheville city, North Carolina",83393,365
"Citrus Heights city, California",83301,366
"Alhambra city, California",83089,367
"Tracy city, California",82922,368
"Bloomington city, Minnesota",82893,369
"Ogden city, Utah",82825,370
"Sioux City city, Iowa",82684,371
"Warwick city, Rhode Island",82672,372
"Hoover city, Alabama",81619,373
"Parma city, Ohio",81601,374
"Nampa city, Idaho",81557,375
"Edmond city, Oklahoma",81405,376
"Champaign city, Illinois",81055,377
"Troy city, Michigan",80980,378
"Livermore city, California",80968,379
"Danbury city, Connecticut",80893,380
"Bellingham city, Washington",80885,381
"Hammond city, Indiana",80830,382
"Buena Park city, California",80530,383
"Longview city, Texas",80455,384
"Bloomington city, Indiana",80405,385
"Cranston city, Rhode Island",80387,386
"Gary city, Indiana",80294,387
"Lakewood city, California",80048,388
"Farmington Hills city, Michigan",79740,389
"O'Fallon city, Missouri",79329,390
"Carmel city, Indiana",79191,391
"Concord city, North Carolina",79066,392
"Merced city, California",78958,393
"Racine city, Wisconsin",78860,394
"Sugar Land city, Texas",78817,395
"Hemet city, California",78657,396
"Chino city, California",77983,397
"Largo city, Florida",77648,398
"Menifee city, California",77519,399
"Albany city, Georgia",77434,400
"Camden city, New Jersey",77344,401
"Lake Forest city, California",77264,402
"Edinburg city, Texas",77100,403
"New Rochelle city, New York",77062,404
"Mission city, Texas",77058,405
"Napa city, California",76915,406
"Redwood City city, California",76815,407
"Fishers city, Indiana",76794,408
"St. Joseph city, Missouri",76780,409
"Johns Creek city, Georgia",76728,410
"Bend city, Oregon",76639,411
"Bellflower city, California",76616,412
"Bloomington city, Illinois",76610,413
"Lawrence city, Massachusetts",76377,414
"Avondale city, Arizona",76238,415
